what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1420300356201
locale,sysinfo,,,"en_IN",1420300356201
processors,sysinfo,,,"4",1420300356201
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1420300356201
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1420300356201
java.specification.name,sysinfo,,,"Java Platform API Specification",1420300356201
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1420300356201
java.specification.version,sysinfo,,,"1.6",1420300356201
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1420300356201
java.version,sysinfo,,,"1.6.0_31",1420300356201
java.vm.info,sysinfo,,,"mixed mode",1420300356201
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1420300356201
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1420300356201
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1420300356201
java.vm.specification.version,sysinfo,,,"1.0",1420300356201
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1420300356201
java.vm.version,sysinfo,,,"20.6-b01",1420300356201
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420300357434
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420300358945
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420300358974
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1420300359020
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420300377068
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420300379320
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420300386085
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1420300388476
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1420300388508
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1420300398047
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.202.v201108180247,"org.eclipse.jst.ws.jaxrs.core",1420300398052
started,bundle,org.eclipse.jst.servlet.ui,1.1.406.v201109140400,"org.eclipse.jst.servlet.ui",1420300398152
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1420300398246
started,bundle,org.eclipse.wst.common.modulecore,1.2.7.v201110060300,"org.eclipse.wst.common.modulecore",1420300398257
started,bundle,org.eclipse.jst.j2ee.core,1.2.7.v201110060300,"org.eclipse.jst.j2ee.core",1420300398267
started,bundle,org.eclipse.jem,2.0.402.v201106132000,"org.eclipse.jem",1420300398292
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1420300398324
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1420300398329
started,bundle,org.eclipse.wst.xml.core,1.1.505.v201109271810,"org.eclipse.wst.xml.core",1420300398340
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1420300398365
started,bundle,org.eclipse.wst.validation,1.2.204.v201109220700,"org.eclipse.wst.validation",1420300398377
started,bundle,org.eclipse.jst.j2ee,1.1.406.v201110130300,"org.eclipse.jst.j2ee",1420300398430
started,bundle,org.eclipse.jst.jee.ui,1.0.305.v201105110300,"org.eclipse.jst.jee.ui",1420300398431
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.404.v201106290200,"org.eclipse.jst.j2ee.navigator.ui",1420300398457
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420300401935
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1420300402220
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1420300402224
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1420300402227
